Date,AAPL,ABT,ADI,ADM,ADP,ADSK,AEP,AFL,ALL,AMAT,AMGN,AMZN,AON,ATI,AVB,AVY,AXP,BA,BAC,BAX,BBY,BDX,BKR,BMY,BSX,BXP,CAH,CAT,CL,CLX,CME,CMS,CNP,COP,COR,COST,CRM,CSCO,CTSH,CVS,CVX,DE,DGX,DHR,DIS,DOC,DOV,DTE,DVN,ECL,EIX,EMR,EOG,EQT,ETR,FDX,FHN,FIS,FITB,FLR,FMC,GD,GE,GEN,GHC,GILD,GLW,GOOGL,GPC,GWW,HAL,HD,HON,HP,HPQ,IBM,ICE,INTC,INTU,IP,ISRG,ITW,IVZ,JCI,JNJ,JPM,KEY,KMB,LIN,LLY,LOW,LUMN,MA,MAT,MCHP,MCK,MDT,MET,MMM,MRK,MRSH,MS,MSFT,NOV,NUE,ORCL,ORLY,OXY,PAYX,PBI,PCG,PFE,PFG,PG,PGR,PNC,PPG,PRU,QCOM,ROP,ROST,RSG,RTX,SLM,SPG,SRE,STT,SWK,SYK,T,TFC,TGT,TJX,TMO,TROW,TRV,TXN,UNH,USB,V,VNO,WFC,WM,WMB,WMT,WY,XEL,XOM,ZBH
2010-01-04,6.400960445404053,18.07880401611328,21.769845962524414,20.156408309936523,25.329418182373047,25.670000076293945,18.439002990722656,15.96981430053711,20.99051856994629,10.999732971191406,38.7485466003418,6.695000171661377,32.040992736816406,41.26578140258789,47.16273880004883,25.6711368560791,32.29253005981445,43.77754592895508,12.038232803344727,23.102718353271484,23.108278274536133,45.28562927246094,20.534332275390625,14.38215160369873,9.010000228881836,35.844093322753906,21.52656364440918,39.05194854736328,27.90035057067871,36.8885383605957,35.399452209472656,9.112159729003906,7.931350231170654,22.623258590698242,18.180044174194336,41.97662353515625,18.38689613342285,15.8303804397583,20.495845794677734,21.99848175048828,40.89092254638672,41.049381256103516,45.148014068603516,15.095541954040527,27.083698272705078,11.362513542175293,20.995342254638672,20.48111343383789,48.43788146972656,37.503578186035156,18.716266632080078,27.784181594848633,34.76272201538086,20.962831497192383,20.670499801635742,55.22840881347656,8.919189453125,17.93437385559082,6.186175346374512,39.19013214111328,18.34320640563965,47.07036590576172,53.458133697509766,6.541318416595459,212.08079528808594,14.858771324157715,13.232502937316895,15.546579360961914,23.29110336303711,74.47216796875,23.745586395263672,19.297069549560547,26.546709060668945,22.81755828857422,14.77495288848877,71.42647552490234,19.192115783691406,13.519429206848145,26.940753936767578,13.502524375915527,34.307777404785156,32.76089859008789,12.508454322814941,11.79818058013916,39.974815368652344,28.152374267578125,3.4954583644866943,34.38968276977539,59.82187271118164,23.40860939025879,17.026029586791992,12.972065925598145,23.502700805664062,14.349032402038574,9.484895706176758,55.84104919433594,29.161815643310547,19.63644027709961,42.560482025146484,20.314678192138672,15.578591346740723,21.508474349975586,23.02750587463379,32.799503326416016,30.90264129638672,19.878211975097656,2.566667079925537,50.1932258605957,17.536834716796875,9.749041557312012,32.480072021484375,8.895800590515137,14.46581745147705,37.58055877685547,10.378776550292969,33.51246643066406,21.948575973510742,27.40738868713379,31.051477432250977,47.477867126464844,9.045753479003906,20.257944107055664,30.674999237060547,3.280517101287842,36.45827102661133,16.673282623291016,30.10819435119629,34.533164978027344,42.45915222167969,6.585601329803467,14.43333911895752,30.41654396057129,7.250171184539795,44.89398193359375,31.039813995361328,34.03669357299805,16.852441787719727,24.269073486328125,13.839404106140137,19.528392791748047,27.96489143371582,17.734050750732422,22.60622787475586,7.852186679840088,12.90919303894043,9.241578102111816,11.997444152832031,37.377281188964844,51.448760986328125
2010-01-05,6.412024974822998,17.93273162841797,21.73548126220703,20.26528549194336,25.193397521972656,25.280000686645508,18.227909088134766,16.433094024658203,21.335636138916016,10.915112495422363,38.41288757324219,6.734499931335449,31.83831214904785,41.719635009765625,46.808433532714844,25.838335037231445,32.22152328491211,45.211341857910156,12.429533004760742,22.944189071655273,23.69475555419922,44.86504364013672,21.73930549621582,14.157691955566406,9.039999961853027,36.38896560668945,21.33465003967285,39.51881790161133,28.125980377197266,37.290855407714844,35.370506286621094,9.083308219909668,7.871265888214111,22.644784927368164,18.050336837768555,41.849456787109375,18.308259963989258,15.759846687316895,20.72795867919922,21.911758422851562,41.180564880371094,40.895599365234375,44.20896530151367,15.077459335327148,27.016136169433594,11.332287788391113,20.89620590209961,20.25062370300293,48.48847198486328,36.93168640136719,18.549394607543945,27.829055786132812,34.336753845214844,21.1079158782959,20.34087562561035,55.949790954589844,8.965781211853027,18.70235252380371,6.351222515106201,39.16459274291992,18.281864166259766,47.14521026611328,53.73497009277344,6.505765914916992,212.69491577148438,14.845044136047363,13.279853820800781,15.478116989135742,23.266666412353516,74.50281524658203,24.049535751342773,19.438419342041016,26.59933853149414,24.149221420288086,14.836930274963379,70.56364440917969,18.469459533691406,13.512953758239746,26.940753936767578,13.979430198669434,34.1533317565918,32.67319869995117,12.578125,11.739629745483398,39.51129913330078,28.69768714904785,3.6308035850524902,34.416412353515625,58.70700454711914,22.996898651123047,16.849599838256836,12.99329662322998,23.433151245117188,14.054723739624023,9.335372924804688,56.04377365112305,29.7596492767334,20.090843200683594,42.29389190673828,20.397016525268555,15.201059341430664,22.294771194458008,23.03493881225586,33.36882781982422,31.116029739379883,19.85421371459961,2.570667028427124,49.83081817626953,17.525455474853516,9.366225242614746,32.11513900756836,8.768919944763184,14.807212829589844,37.59286117553711,10.344237327575684,33.85063934326172,21.963058471679688,27.94738006591797,31.798986434936523,46.87242889404297,9.21103286743164,20.286209106445312,30.216777801513672,3.3231589794158936,36.208797454833984,16.31834602355957,30.16914939880371,35.03763198852539,42.85804748535156,6.553342819213867,14.640242576599121,30.529312133789062,7.4453020095825195,45.04520034790039,31.38787269592285,33.23033905029297,16.7552547454834,24.230592727661133,14.19022274017334,19.304615020751953,27.75322723388672,18.220903396606445,22.506969451904297,7.950290679931641,12.780649185180664,9.437766075134277,11.85515308380127,37.523223876953125,53.07741928100586
2010-01-06,6.31003475189209,18.032325744628906,21.694225311279297,20.214048385620117,25.134258270263672,25.34000015258789,18.412620544433594,16.577451705932617,21.34254264831543,10.89204216003418,38.124210357666016,6.612500190734863,31.829862594604492,42.732078552246094,46.36702346801758,25.7825984954834,32.74237060546875,46.58279800415039,12.575308799743652,23.023452758789062,23.510759353637695,44.74404525756836,22.824769973754883,14.152082443237305,9.15999984741211,36.559906005859375,20.983928680419922,39.63888168334961,28.062002182006836,37.19477462768555,35.130638122558594,9.054450988769531,7.794795513153076,22.808269500732422,17.879663467407227,42.393497467041016,18.276309967041016,15.65726089477539,20.72795867919922,21.71833038330078,41.185733795166016,40.78575897216797,43.52871322631836,15.10558032989502,26.872575759887695,11.26427173614502,21.14403533935547,20.33529281616211,48.34296798706055,36.82394027709961,18.780847549438477,28.079011917114258,34.45102310180664,21.192167282104492,20.444034576416016,55.486507415771484,9.21871566772461,18.596935272216797,6.38789701461792,40.186710357666016,18.459421157836914,47.10435104370117,53.458133697509766,6.527097225189209,212.98753356933594,15.359783172607422,13.110725402832031,15.087934494018555,23.223905563354492,74.78617095947266,24.619430541992188,19.371116638183594,26.59933853149414,25.029733657836914,14.698894500732422,70.10523986816406,17.899837493896484,13.467623710632324,26.564746856689453,13.820455551147461,34.648887634277344,32.5990104675293,12.315523147583008,11.700593948364258,39.83266830444336,28.855356216430664,3.6072661876678467,33.993717193603516,59.2277717590332,23.166807174682617,16.893707275390625,12.48375129699707,23.39928436279297,13.997299194335938,9.25735855102539,53.761131286621094,30.250164031982422,20.296398162841797,42.89371109008789,20.671457290649414,15.664074897766113,22.580074310302734,22.893585205078125,33.845611572265625,32.053653717041016,19.56623649597168,2.559333086013794,50.428802490234375,17.667709350585938,9.459800720214844,32.48738479614258,8.740720748901367,14.708845138549805,37.41453552246094,10.24062442779541,33.85063934326172,22.307144165039062,28.275617599487305,31.488059997558594,47.3205680847168,9.352998733520508,20.44158935546875,30.058332443237305,3.3430566787719727,35.802284240722656,16.094635009765625,29.668033599853516,35.915550231933594,43.51738739013672,6.488962650299072,14.949585914611816,31.111949920654297,7.4754791259765625,45.470497131347656,30.897159576416016,32.758853912353516,16.632144927978516,24.46921157836914,14.341440200805664,19.045392990112305,27.64139747619629,18.246862411499023,22.50035858154297,8.20827579498291,12.752077102661133,9.33341121673584,11.877925872802734,37.847530364990234,53.06028366088867
2010-01-07,6.298370361328125,18.18171501159668,21.522380828857422,20.002683639526367,25.1224308013916,25.479999542236328,18.570934295654297,16.75537872314453,21.452980041503906,10.776659965515137,37.775123596191406,6.5,31.736970901489258,43.3430290222168,46.4599494934082,26.026426315307617,33.27341079711914,48.46855163574219,12.989624977111816,23.396015167236328,23.88450050354004,44.73252487182617,22.989089965820312,14.163307189941406,9.09000015258789,36.72015380859375,20.977313995361328,39.7989616394043,27.950868606567383,36.84049606323242,35.174076080322266,8.939038276672363,7.871265888214111,22.717918395996094,17.592933654785156,42.18861389160156,18.195213317871094,15.727787971496582,19.944040298461914,22.51875114440918,41.03057098388672,41.078670501708984,43.95017623901367,15.230122566223145,26.881019592285156,11.419198036193848,21.609941482543945,20.14713478088379,48.05830383300781,37.221771240234375,18.667821884155273,28.079011917114258,34.12896728515625,20.906665802001953,20.199966430664062,54.8842887878418,9.445021629333496,18.49153709411621,6.773006439208984,41.71138381958008,18.23021125793457,47.24044418334961,56.22621536254883,6.512877941131592,217.8282470703125,15.397534370422363,13.239258766174316,14.736692428588867,23.352191925048828,75.49076080322266,24.680219650268555,19.599958419799805,27.112504959106445,25.187362670898438,14.704524993896484,69.8625717163086,18.387836456298828,13.338129997253418,26.47730827331543,13.293874740600586,34.518890380859375,32.8080940246582,12.353041648864746,11.785168647766113,39.54835891723633,29.426969528198242,3.7602651119232178,33.768978118896484,59.38179016113281,23.049177169799805,17.37890625,12.363446235656738,23.246362686157227,14.35621166229248,9.208600997924805,53.87571334838867,30.530445098876953,20.583101272583008,42.92445755004883,20.704389572143555,15.86352252960205,22.907114028930664,22.655492782592773,33.51826095581055,31.833799362182617,19.502243041992188,2.551332950592041,50.054317474365234,17.9465274810791,9.472564697265625,31.932645797729492,8.70782470703125,14.83614444732666,37.211647033691406,10.102468490600586,35.68566131591797,22.408552169799805,28.73090171813965,32.40093994140625,47.1395149230957,9.73652458190918,20.406280517578125,30.186805725097656,3.4539246559143066,36.26885223388672,16.058847427368164,30.203022003173828,37.17998123168945,44.9744758605957,6.416109085083008,15.551395416259766,31.494136810302734,7.857701778411865,45.470497131347656,30.87433624267578,33.23033905029297,16.683975219726562,25.40826416015625,14.61967945098877,19.222633361816406,28.068744659423828,18.908967971801758,22.553300857543945,8.150140762329102,12.759222984313965,9.291670799255371,11.82669734954834,37.7286262512207,54.27749252319336
2010-01-08,6.340242862701416,18.274654388427734,21.646116256713867,19.752893447875977,25.086936950683594,26.260000228881836,18.792583465576172,16.587522506713867,21.542713165283203,11.192033767700195,38.110801696777344,6.676000118255615,31.9987735748291,44.35548782348633,46.1114387512207,26.521038055419922,33.249637603759766,48.00102615356445,12.874540328979492,23.451499938964844,22.947290420532227,44.88808822631836,23.452152252197266,13.92762565612793,9.0,36.24473190307617,20.9111328125,40.2458381652832,27.449113845825195,36.846492767333984,36.113807678222656,8.973663330078125,7.778406620025635,22.915834426879883,17.784080505371094,41.8847770690918,18.222248077392578,15.81114387512207,20.522123336791992,22.67884063720703,41.102970123291016,42.19898986816406,43.95017623901367,15.443049430847168,26.923246383666992,11.494766235351562,22.229488372802734,20.3023624420166,48.15317916870117,37.53672409057617,18.57093048095703,28.239242553710938,34.3021125793457,20.728809356689453,20.006221771240234,56.24759292602539,9.471646308898926,18.107547760009766,6.779120445251465,42.3842887878418,18.068803787231445,47.24044418334961,57.437217712402344,6.530651092529297,217.8282470703125,15.284292221069336,13.455744743347168,14.933149337768555,23.358301162719727,76.37915802001953,25.9263916015625,19.50572395324707,27.711193084716797,26.08963394165039,14.8143949508667,70.56364440917969,18.445648193359375,13.487051963806152,27.176849365234375,13.378326416015625,34.328887939453125,33.11836624145508,12.283366203308105,11.824209213256836,39.68434143066406,29.35469627380371,3.824995517730713,33.554931640625,59.77051544189453,22.872730255126953,17.342144012451172,12.3280611038208,23.25461769104004,14.191113471984863,9.263860702514648,53.55843734741211,30.690595626831055,20.69129753112793,43.226924896240234,20.693410873413086,15.78516960144043,22.440898895263672,22.811731338500977,33.5253791809082,32.28643798828125,19.742225646972656,2.5286669731140137,50.56772994995117,17.95790672302246,9.472564697265625,31.96186637878418,8.77831745147705,14.853499412536621,37.16244888305664,10.194571495056152,35.77959442138672,22.36509132385254,28.355018615722656,32.72510528564453,47.47447967529297,9.54793930053711,20.43453598022461,30.24675941467285,3.3089442253112793,35.40035629272461,16.049894332885742,30.819276809692383,37.618934631347656,45.112857818603516,6.36910343170166,15.377037048339844,31.36881446838379,7.755109786987305,46.236087799072266,30.754526138305664,33.18252944946289,17.066251754760742,25.169639587402344,14.643876075744629,19.275814056396484,27.757226943969727,18.73370933532715,22.659189224243164,8.215543746948242,12.694947242736816,9.206100463867188,11.832392692565918,37.577274322509766,53.13742446899414
2010-01-11,6.2843122482299805,18.36761474609375,21.522380828857422,19.765701293945312,25.199298858642578,26.25,18.987842559814453,17.023950576782227,21.542713165283203,11.438179016113281,38.278621673583984,6.515500068664551,32.13388442993164,44.46894836425781,46.744537353515625,26.96689224243164,32.86918640136719,47.432167053222656,12.989624977111816,23.316747665405273,22.556303024291992,45.176151275634766,23.203203201293945,14.07352352142334,9.069999694824219,36.415672302246094,21.18906593322754,42.77371597290039,27.327877044677734,36.83448028564453,36.10658645629883,9.089079856872559,7.8330302238464355,23.04921531677246,17.982065200805664,41.93423843383789,18.099369049072266,15.76625919342041,20.355701446533203,22.632152557373047,41.83224868774414,43.89779281616211,44.061092376708984,15.617813110351562,26.484092712402344,11.623244285583496,22.497119903564453,20.589309692382812,47.49528884887695,38.35724639892578,18.93157958984375,28.668678283691406,33.98698425292969,20.71009635925293,20.393718719482422,57.743309020996094,9.39177131652832,18.017202377319336,6.846360206604004,42.5716667175293,17.57486915588379,48.118038177490234,57.99083709716797,6.527097225189209,218.3128662109375,15.404394149780273,13.861655235290527,14.910577774047852,23.620954513549805,76.70081329345703,25.668041229248047,18.95380401611328,28.059898376464844,25.25259017944336,14.769320487976074,69.82482147216797,18.449047088623047,13.564749717712402,27.299264907836914,13.219355583190918,34.58777618408203,33.691715240478516,12.663872718811035,12.129976272583008,39.69050979614258,29.256134033203125,3.8426501750946045,33.51213455200195,60.33527755737305,23.18641471862793,17.195117950439453,12.455442428588867,22.871883392333984,14.284427642822266,9.250860214233398,54.16654968261719,30.570476531982422,20.826536178588867,43.05262756347656,20.775745391845703,15.728181838989258,22.294771194458008,22.521575927734375,33.19804000854492,32.09890365600586,19.75022315979004,2.5420000553131104,50.108665466308594,18.066017150878906,9.332197189331055,32.443580627441406,8.848806381225586,14.922937393188477,37.014869689941406,9.935534477233887,35.87981033325195,22.339740753173828,28.317955017089844,32.60603713989258,47.67363739013672,9.594555854797363,20.42747688293457,30.901973724365234,3.2634620666503906,35.43272018432617,16.282548904418945,30.04050064086914,37.3896369934082,44.9744758605957,6.33854866027832,15.377037048339844,31.43773651123047,7.743035316467285,46.78425216674805,30.971355438232422,33.16885757446289,16.845958709716797,25.338973999023438,14.710411071777344,19.220420837402344,27.8450870513916,18.694753646850586,22.943748474121094,8.164674758911133,12.904426574707031,9.266627311706543,11.94621467590332,37.9988899230957,54.3117790222168
2010-01-12,6.212829113006592,18.314496994018555,20.628768920898438,19.554338455200195,25.021892547607422,25.889999389648438,18.79785919189453,16.936662673950195,21.522010803222656,10.922811508178711,37.61400604248047,6.367499828338623,32.083221435546875,41.72837448120117,45.646793365478516,26.688241958618164,33.305110931396484,47.08930587768555,12.55229377746582,23.685340881347656,22.57354736328125,44.50783157348633,22.760053634643555,13.922011375427246,9.140000343322754,36.05241394042969,21.06334114074707,41.51310348510742,27.16959571838379,36.8885383605957,35.3746223449707,9.037139892578125,7.88218879699707,22.55872344970703,18.10495376586914,41.7081298828125,16.782161712646484,15.516210556030273,20.67102813720703,22.385360717773438,41.589168548583984,42.02326965332031,43.7801399230957,15.400870323181152,26.028051376342773,11.42675495147705,22.576440811157227,20.570486068725586,46.93226623535156,38.4815788269043,18.910043716430664,28.51484489440918,33.045013427734375,20.438631057739258,20.562297821044922,57.29990005493164,9.19209098815918,17.956960678100586,6.717990875244141,41.83913803100586,17.51352882385254,47.82548522949219,58.025447845458984,6.566202640533447,215.5590362548828,15.424986839294434,13.645166397094727,14.646900177001953,23.52322006225586,76.67018127441406,25.295713424682617,18.832651138305664,27.744094848632812,24.736244201660156,14.639739036560059,70.38028717041016,17.978044509887695,13.3446044921875,27.299264907836914,13.254133224487305,33.821109771728516,32.84181213378906,12.481666564941406,12.113712310791016,39.90065383911133,28.572866439819336,3.7720351219177246,33.7208366394043,59.68983840942383,23.107995986938477,17.151004791259766,12.423599243164062,22.859066009521484,13.889634132385254,9.098088264465332,54.92447280883789,30.24347496032715,20.831945419311523,43.08849334716797,20.611087799072266,15.571465492248535,21.661556243896484,22.372772216796875,32.99165344238281,31.30355453491211,19.646230697631836,2.5899999141693115,48.41743087768555,18.0034236907959,9.404509544372559,32.480072021484375,8.820611953735352,14.668338775634766,37.43913650512695,9.95855712890625,35.51029586791992,22.03188133239746,28.08501434326172,32.07682418823242,47.63743591308594,9.630579948425293,20.39921760559082,30.72211265563965,3.2577760219573975,34.73514175415039,16.225872039794922,29.932144165039062,36.80656051635742,44.941925048828125,6.336201190948486,15.427661895751953,30.911489486694336,7.672625541687012,46.00922775268555,31.14823341369629,33.38069152832031,16.139726638793945,24.669326782226562,14.704355239868164,19.129575729370117,27.461666107177734,18.22739601135254,23.08271598815918,7.924856662750244,13.028207778930664,9.158097267150879,12.088499069213867,37.80970001220703,53.2659912109375
2010-01-13,6.300462245941162,18.48837661743164,20.621896743774414,19.637609481811523,25.20521354675293,26.25,19.030067443847656,17.121305465698242,21.71527862548828,10.976653099060059,37.949676513671875,6.45550012588501,32.142333984375,41.719635009765625,46.709693908691406,27.691390991210938,33.40816116333008,47.65815353393555,12.75178050994873,23.927112579345703,22.843799591064453,44.65186309814453,23.178300857543945,14.023017883300781,9.149999618530273,36.6453857421875,21.18244743347168,41.573143005371094,27.29755973815918,37.18876647949219,35.48422622680664,9.106391906738281,7.9477410316467285,22.700702667236328,18.459943771362305,41.96955871582031,16.833768844604492,15.798317909240723,21.36297607421875,22.658838272094727,41.27366256713867,42.68227005004883,44.319881439208984,15.439030647277832,26.42497444152832,11.513668060302734,22.78460693359375,20.75394630432129,47.48896026611328,39.00370407104492,19.082290649414062,28.534076690673828,33.90690994262695,20.588409423828125,20.854175567626953,56.796897888183594,9.278615951538086,18.25813102722168,7.041969299316406,42.11170959472656,17.581327438354492,48.61211013793945,58.23305130004883,6.644414901733398,217.01271057128906,15.617156028747559,13.739879608154297,14.562809944152832,23.6392822265625,77.0072021484375,25.873201370239258,18.933610916137695,27.84278106689453,25.67654800415039,14.710169792175293,70.22930908203125,18.299423217773438,13.571224212646484,27.614051818847656,13.224325180053711,34.00444412231445,32.821590423583984,12.52989673614502,12.003111839294434,40.15403747558594,29.07217788696289,3.8191111087799072,34.04187774658203,60.74604415893555,23.428205490112305,17.070146560668945,12.526212692260742,23.45330238342285,14.349032402038574,9.176095962524414,55.09193420410156,30.416996002197266,20.51278305053711,42.950077056884766,21.36855125427246,15.571465492248535,21.752023696899414,22.581092834472656,32.98454284667969,31.316497802734375,19.83821678161621,2.5986669063568115,48.0973014831543,18.014802932739258,9.472564697265625,32.67715072631836,9.02738094329834,14.772492408752441,37.82650375366211,10.200328826904297,35.78635025024414,22.263675689697266,28.482086181640625,32.21574020385742,47.46543502807617,9.73228645324707,20.6817569732666,31.073270797729492,3.271989345550537,35.086238861083984,16.06779670715332,30.209789276123047,37.15378952026367,45.15357208251953,6.26099157333374,15.692001342773438,30.911489486694336,7.698777675628662,46.02814483642578,31.456323623657227,33.49686050415039,16.211000442504883,25.04648780822754,14.946310997009277,19.30682945251465,28.140634536743164,18.551950454711914,23.029767990112305,7.932122707366943,13.09485912322998,9.241578102111816,12.276321411132812,37.65834426879883,53.61743927001953
2010-01-14,6.263973712921143,18.50844383239746,20.601266860961914,19.688846588134766,25.134258270263672,26.600000381469727,19.103944778442383,17.346235275268555,21.839527130126953,11.038190841674805,37.7013053894043,6.367499828338623,31.888988494873047,40.74211502075195,46.4308967590332,27.719263076782227,33.82822799682617,47.9698371887207,12.905232429504395,24.458208084106445,22.625307083129883,44.38682556152344,23.666261672973633,14.056686401367188,9.510000228881836,36.49045944213867,21.586118698120117,41.339691162109375,27.082040786743164,37.164764404296875,35.331214904785156,9.11793327331543,7.985977649688721,22.795366287231445,18.576007843017578,41.489112854003906,17.003337860107422,15.997078895568848,21.069557189941406,22.645496368408203,41.144351959228516,42.72620391845703,45.02971267700195,15.50330924987793,26.19695281982422,11.479659080505371,23.012598037719727,20.833913803100586,46.793113708496094,38.44841384887695,19.071533203125,28.80327033996582,33.990150451660156,20.78029441833496,20.834047317504883,57.10796356201172,9.385119438171387,18.333419799804688,7.194791316986084,42.759056091308594,17.3198299407959,48.63263702392578,57.78322219848633,6.6764116287231445,218.39434814453125,15.599992752075195,13.665464401245117,14.631272315979004,23.798093795776367,76.88463592529297,26.070758819580078,19.04802703857422,28.007274627685547,26.404890060424805,14.791853904724121,71.35098266601562,18.637788772583008,13.907907485961914,27.78893280029297,13.030583381652832,34.22222137451172,32.72040557861328,12.326242446899414,12.126723289489746,40.23439025878906,29.361249923706055,4.030956745147705,33.7208366394043,59.418453216552734,23.52623176574707,17.048086166381836,12.53683090209961,23.84975242614746,14.700756072998047,9.111091613769531,54.63365173339844,30.68392562866211,20.70751953125,42.80654525756836,21.950389862060547,15.664074897766113,21.71027374267578,23.03493881225586,33.41865158081055,30.980243682861328,20.311124801635742,2.5859999656677246,48.47179412841797,17.838415145874023,9.468307495117188,32.4727783203125,9.107272148132324,14.841925621032715,37.86338806152344,10.217597961425781,36.288265228271484,22.741764068603516,28.630313873291016,31.9974365234375,47.52880096435547,9.662363052368164,20.639371871948242,31.18032455444336,3.2748310565948486,35.243309020996094,15.987262725830078,29.65449333190918,37.04895782470703,45.60126876831055,6.155232906341553,16.04071807861328,31.38762855529785,7.6042280197143555,45.76348876953125,31.2623348236084,33.674530029296875,16.01014518737793,25.646865844726562,15.32132625579834,19.373291015625,28.256460189819336,18.818090438842773,22.791532516479492,7.8848876953125,12.904426574707031,9.153922080993652,12.299084663391113,37.66374969482422,53.77174758911133
2010-01-15,6.159290313720703,18.55525016784668,19.906997680664062,19.560745239257812,24.99822998046875,26.079999923706055,19.003671646118164,17.15823745727539,21.335636138916016,10.561279296875,37.761714935302734,6.35699987411499,31.720060348510742,39.89548873901367,46.13467788696289,27.503297805786133,33.598392486572266,47.393211364746094,12.475569725036621,24.402719497680664,22.383811950683594,43.95471954345703,23.541790008544922,14.067906379699707,9.430000305175781,36.37293243408203,21.400829315185547,40.3726806640625,26.94060516357422,36.744407653808594,34.864952087402344,9.054450988769531,7.980512619018555,22.812572479248047,18.37802505493164,41.53855514526367,16.865713119506836,15.64443588256836,20.986347198486328,22.618818283081055,40.978843688964844,41.2470817565918,44.54910659790039,15.308459281921387,25.842260360717773,11.468321800231934,22.596256256103516,20.664573669433594,46.198486328125,38.2412109375,18.969255447387695,28.4058837890625,33.59821701049805,20.433956146240234,20.595014572143555,56.327022552490234,9.07227897644043,18.062366485595703,6.944165229797363,41.813594818115234,17.177780151367188,48.29745101928711,56.88359832763672,6.701294422149658,214.3836212158203,15.620583534240723,13.300152778625488,14.386942863464355,23.694257736206055,76.61656188964844,25.858003616333008,19.229768753051758,28.046743392944336,25.81244659423828,14.780590057373047,71.06514739990234,18.1990909576416,13.467623710632324,27.509124755859375,12.956063270568848,34.28666687011719,32.29548645019531,12.170827865600586,12.211297035217285,39.90065383911133,28.69768714904785,4.048612594604492,33.29275894165039,59.38179016113281,23.40860939025879,17.070220947265625,12.409442901611328,24.04843521118164,14.557197570800781,8.903056144714355,54.57194900512695,30.437015533447266,20.474916458129883,42.739898681640625,21.664962768554688,15.578591346740723,21.13967514038086,22.960540771484375,32.90625,30.66986083984375,20.230972290039062,2.547333002090454,47.668460845947266,17.45148277282715,9.327948570251465,32.852317810058594,9.15896224975586,14.616264343261719,37.396095275878906,10.033391952514648,35.56049728393555,22.4737491607666,28.302078247070312,32.103275299072266,46.8135871887207,9.509799003601074,20.046045303344727,30.829166412353516,3.055941104888916,34.59653091430664,15.63530158996582,28.89603042602539,36.51828384399414,45.60942077636719,6.061225891113281,15.613256454467773,31.43147087097168,7.501631259918213,45.130271911621094,30.583345413208008,33.33969497680664,15.8740816116333,25.97783851623535,14.891867637634277,19.08526039123535,27.99685287475586,18.22739601135254,22.0040225982666,7.764979839324951,12.778267860412598,9.09757137298584,12.185251235961914,37.355655670166016,52.93169403076172
